outcome,variable,selected,imputation
andujak2,ana_neu,True,5
andujak2,protcrea,True,5
andujak2,splanchnic,True,5
andujak2,sexo,False,6
andujak2,raza,True,6
andujak2,ant_inf,False,6
andujak2,ant_isq,False,6
andujak2,ant_clau,True,6
andujak2,fum_act,False,6
andujak2,diabetes,False,6
andujak2,hip_art,True,6
andujak2,insf_car,False,6
andujak2,fibr_aur,True,6
andujak2,trat_est,False,6
andujak2,e_con_pp,False,6
andujak2,e_con_cu,False,6
andujak2,e_con_ec,True,6
andujak2,e_con_lu,False,6
andujak2,e_con_be,False,6
andujak2,e_con_va,False,6
andujak2,e_con_ar,False,6
andujak2,e_con_ea,False,6
andujak2,e_con_pr,False,6
andujak2,e_con_av,False,6
andujak2,e_con_sm,False,6
andujak2,sin_tvp_,False,6
andujak2,var171,False,6
andujak2,tv_l_esu,False,6
andujak2,tvp_orig,False,6
andujak2,tv_l_ein,False,6
andujak2,tvp_prox,True,6
andujak2,tv_l_svc,False,6
andujak2,tv_l_vre,False,6
andujak2,tv_l_vrn,False,6
andujak2,tv_l_vca,False,6
andujak2,tv_l_yug,False,6
andujak2,tv_l_ova,True,6
andujak2,tv_l_sup,False,6
andujak2,tv_l_pul,False,6
andujak2,tv_l_ove,False,6
andujak2,fr_cance,False,6
andujak2,fr_cirug,False,6
andujak2,fr_inmov,False,6
andujak2,fr_tvp_a,False,6
andujak2,fr_antfa,False,6
andujak2,fr_tvs_a,False,6
andujak2,fr_viaje,False,6
andujak2,fr_estro,False,6
andujak2,fr_embar,False,6
andujak2,fr_varic,False,6
andujak2,fr_antec,False,6
andujak2,ana_dime,False,6
andujak2,ana_crea,True,6
andujak2,ana_trop,False,6
andujak2,edad,True,6
andujak2,peso,False,6
andujak2,tension_,False,6
andujak2,ana_hemo,True,6
andujak2,ana_plaq,True,6
andujak2,ana_leuc,False,6
andujak2,ana_neu,True,6
andujak2,protcrea,False,6
andujak2,splanchnic,True,6
andujak2,sexo,False,7
andujak2,raza,True,7
andujak2,ant_inf,False,7
andujak2,ant_isq,False,7
andujak2,ant_clau,True,7
andujak2,fum_act,False,7
andujak2,diabetes,False,7
andujak2,hip_art,True,7
andujak2,insf_car,False,7
andujak2,fibr_aur,False,7
andujak2,trat_est,False,7
andujak2,e_con_pp,False,7
andujak2,e_con_cu,False,7
andujak2,e_con_ec,True,7
andujak2,e_con_lu,False,7
andujak2,e_con_be,False,7
andujak2,e_con_va,False,7
andujak2,e_con_ar,False,7
