threshold,n,tp,fp,net_benefit,test_all_net_benefit,test_none_net_benefit,net_tests_avoided_per_1000,outcome,validation,model
0.22,1085,344,711,0.13222261609358382,0.12560557721848048,0.0,23.460410557184577,ana_dura,temporal_holdout,MI continuous XGBoost
0.23,1085,343,709,0.12094081034173201,0.11424980549404518,0.0,22.400320577038542,ana_dura,temporal_holdout,MI continuous XGBoost
0.24,1085,342,707,0.1094348775163716,0.10259519767159839,0.0,21.65898617511517,ana_dura,temporal_holdout,MI continuous XGBoost
0.25,1085,341,702,0.09861751152073733,0.0906298003072197,0.0,23.963133640552886,ana_dura,temporal_holdout,MI continuous XGBoost
0.26,1085,340,698,0.08733341636567442,0.07834101382488481,0.0,25.59376107763195,ana_dura,temporal_holdout,MI continuous XGBoost
0.27,1085,337,692,0.07470487974244047,0.06571554826084214,0.0,24.304488820617717,ana_dura,temporal_holdout,MI continuous XGBoost
0.28,1085,333,685,0.06139272913466459,0.05273937532002049,0.0,22.251481237656265,ana_dura,temporal_holdout,MI continuous XGBoost
0.29,1085,329,673,0.04987343415330695,0.03939767638086589,0.0,25.64754489114881,ana_dura,temporal_holdout,MI continuous XGBoost
0.3,1085,326,658,0.04055299539170507,0.025674786043449638,0.0,34.71582181259601,ana_dura,temporal_holdout,MI continuous XGBoost
0.31,1085,323,643,0.03144326454284378,0.01155413076871703,0.0,44.269362271443406,ana_dura,temporal_holdout,MI continuous XGBoost
0.32,1085,313,630,0.01523448088912982,-0.0029818378964489023,0.0,38.709677419354776,ana_dura,temporal_holdout,MI continuous XGBoost
0.33,1085,303,599,0.007345759680858321,-0.017951716074007862,0.0,51.361541684122244,ana_dura,temporal_holdout,MI continuous XGBoost
0.34,1085,286,564,-0.004189359028068772,-0.033375226923614054,0.0,56.65492003252907,ana_dura,temporal_holdout,MI continuous XGBoost
0.35,1085,267,511,-0.007515065579581689,-0.049273307337823424,0.0,77.55102040816323,ana_dura,temporal_holdout,MI continuous XGBoost
0.36,1085,250,467,-0.011693548387096775,-0.06566820276497692,0.0,95.95494111623137,ana_dura,temporal_holdout,MI continuous XGBoost
0.37,1085,240,423,-0.0077682685977617,-0.0825835710628337,0.0,127.38821771079827,ana_dura,temporal_holdout,MI continuous XGBoost
0.38,1085,214,379,-0.01685744016649323,-0.1000445964025568,0.0,135.72641280620897,ana_dura,temporal_holdout,MI continuous XGBoost
0.39,1085,193,337,-0.020699554279670622,-0.11807811437636923,0.0,152.31005553586192,ana_dura,temporal_holdout,MI continuous XGBoost
0.4,1085,160,271,-0.019047619047619067,-0.1367127496159754,0.0,176.4976958525345,ana_dura,temporal_holdout,MI continuous XGBoost
0.41,1085,136,212,-0.010435054284152121,-0.15597906740607653,0.0,209.44138473642786,ana_dura,temporal_holdout,MI continuous XGBoost
0.42,1085,112,162,-0.004894327030033357,-0.17590974098204343,0.0,236.16414307658533,ana_dura,temporal_holdout,MI continuous XGBoost
0.43,1085,88,122,-0.0037189748564960667,-0.19653973643786876,0.0,255.59961418926153,ana_dura,temporal_holdout,MI continuous XGBoost
0.44,1085,63,78,0.0015799868334430555,-0.21790651744568784,0.0,279.3464599916211,ana_dura,temporal_holdout,MI continuous XGBoost
0.45,1085,44,42,0.008881441139505659,-0.2400502723083367,0.0,304.2498719918073,ana_dura,temporal_holdout,MI continuous XGBoost
0.46,1085,30,27,0.0064516129032258064,-0.2630141662399726,0.0,316.32939290723294,ana_dura,temporal_holdout,MI continuous XGBoost
0.47,1085,19,15,0.00525171724197896,-0.2868446222067645,0.0,329.38523384645544,ana_dura,temporal_holdout,MI continuous XGBoost
0.48,1085,13,8,0.005175469691598725,-0.31159163417227925,0.0,343.1643625192011,ana_dura,temporal_holdout,MI continuous XGBoost
0.49,1085,9,3,0.00563838438601247,-0.3373091171952651,0.0,356.9453587886767,ana_dura,temporal_holdout,MI continuous XGBoost
0.5,1085,8,3,0.004608294930875576,-0.36405529953917043,0.0,368.663594470046,ana_dura,temporal_holdout,MI continuous XGBoost
0.01,1085,345,740,0.311083182050924,0.311083182050924,0.0,0.0,ana_dura,temporal_holdout,MI spline LASSO
0.02,1085,345,740,0.30405341860246404,0.30405341860246404,0.0,0.0,ana_dura,temporal_holdout,MI spline LASSO
0.03,1085,345,740,0.29687871157774715,0.29687871157774715,0.0,0.0,ana_dura,temporal_holdout,MI spline LASSO
0.04,1085,345,740,0.28955453149001537,0.28955453149001537,0.0,0.0,ana_dura,temporal_holdout,MI spline LASSO
0.05,1085,345,740,0.28207615813727865,0.2820761581372787,0.0,-1.0547118733938987e-12,ana_dura,temporal_holdout,MI spline LASSO
0.06,1085,345,740,0.274438670457888,0.27443867045788806,0.0,-8.696747026230394e-13,ana_dura,temporal_holdout,MI spline LASSO
0.07,1085,345,740,0.2666369357316288,0.2666369357316288,0.0,0.0,ana_dura,temporal_holdout,MI spline LASSO
0.08,1085,345,740,0.2586655980765378,0.2586655980765378,0.0,0.0,ana_dura,temporal_holdout,MI spline LASSO
0.09,1085,345,740,0.25051906618726894,0.250519066187269,0.0,-5.612794180049403e-13,ana_dura,temporal_holdout,MI spline LASSO
0.1,1085,345,740,0.24219150025601638,0.24219150025601638,0.0,0.0,ana_dura,temporal_holdout,MI spline LASSO
0.11,1085,345,740,0.23367679801170196,0.233676798011702,0.0,-2.245678390719067e-13,ana_dura,temporal_holdout,MI spline LASSO
0.12,1085,345,739,0.22509426057813156,0.22496857980728951,0.0,0.921658986175004,ana_dura,temporal_holdout,MI spline LASSO
0.13,1085,345,739,0.21619789183749138,0.21606017267863764,0.0,0.9216589861750565,ana_dura,temporal_holdout,MI spline LASSO
0.14,1085,345,739,0.2070946308005573,0.20694459329117995,0.0,0.9216589861750739,ana_dura,temporal_holdout,MI spline LASSO
0.15,1085,345,739,0.19777717538628356,0.19761452968284088,0.0,0.9216589861751981,ana_dura,temporal_holdout,MI spline LASSO
0.16,1085,344,737,0.18766732499451394,0.1880623217028747,0.0,-2.0737327188940293,ana_dura,temporal_holdout,MI spline LASSO
0.17,1085,344,736,0.17811337515962464,0.1782799400366443,0.0,-0.8132285172136304,ana_dura,temporal_holdout,MI spline LASSO
0.18,1085,344,731,0.1691581431943352,0.1682589636956278,0.0,4.0962621607781955,ana_dura,temporal_holdout,MI spline LASSO
0.19,1085,344,729,0.15944700460829492,0.15799055584001825,0.0,6.209071064758408,ana_dura,temporal_holdout,MI spline LASSO
0.2,1085,344,720,0.15115207373271888,0.14746543778801846,0.0,14.74654377880169,ana_dura,temporal_holdout,MI spline LASSO
0.21,1085,344,716,0.14163215306539115,0.13667386105115795,0.0,18.652622339258233,ana_dura,temporal_holdout,MI spline LASSO
0.22,1085,344,710,0.13248257119224863,0.12560557721848048,0.0,24.382069543359794,ana_dura,temporal_holdout,MI spline LASSO
0.23,1085,342,707,0.12056975282781734,0.11424980549404518,0.0,21.158084552193785,ana_dura,temporal_holdout,MI spline LASSO
0.24,1085,339,696,0.10987145282561242,0.10259519767159839,0.0,23.041474654377772,ana_dura,temporal_holdout,MI spline LASSO
0.25,1085,336,683,0.09984639016897082,0.0906298003072197,0.0,27.64976958525334,ana_dura,temporal_holdout,MI spline LASSO
0.26,1085,334,672,0.09022294183584505,0.07834101382488481,0.0,33.81779510811758,ana_dura,temporal_holdout,MI spline LASSO
0.27,1085,331,660,0.08008332807272266,0.06571554826084214,0.0,38.84621949138066,ana_dura,temporal_holdout,MI spline LASSO
0.28,1085,323,646,0.06615463389656935,0.05273937532002049,0.0,34.496379196839925,ana_dura,temporal_holdout,MI spline LASSO
0.29,1085,316,636,0.05182060102550787,0.03939767638086589,0.0,30.41474654377864,ana_dura,temporal_holdout,MI spline LASSO
0.3,1085,311,624,0.04015799868334429,0.025674786043449638,0.0,33.79416282642086,ana_dura,temporal_holdout,MI spline LASSO
0.31,1085,305,604,0.031002471114673046,0.01155413076871703,0.0,43.28824141519242,ana_dura,temporal_holdout,MI spline LASSO
0.32,1085,299,576,0.025752236378422333,-0.0029818378964489023,0.0,61.05990783410137,ana_dura,temporal_holdout,MI spline LASSO
0.33,1085,293,553,0.019010936102895597,-0.017951716074007862,0.0,75.04538472280399,ana_dura,temporal_holdout,MI spline LASSO
0.34,1085,280,522,0.010222036028487617,-0.033375226923614054,0.0,84.62998102466794,ana_dura,temporal_holdout,MI spline LASSO
0.35,1085,266,487,0.0034739454094292843,-0.049273307337823424,0.0,97.95918367346931,ana_dura,temporal_holdout,MI spline LASSO
0.36,1085,251,450,-0.00195852534562212,-0.06566820276497692,0.0,113.26164874551965,ana_dura,temporal_holdout,MI spline LASSO
0.37,1085,236,413,-0.006041986687147992,-0.0825835710628337,0.0,130.32756258562702,ana_dura,temporal_holdout,MI spline LASSO
0.38,1085,217,373,-0.010703136613646509,-0.1000445964025568,0.0,145.76764491874837,ana_dura,temporal_holdout,MI spline LASSO
0.39,1085,199,332,-0.012223313439601141,-0.11807811437636923,0.0,165.56776556776546,ana_dura,temporal_holdout,MI spline LASSO
0.4,1085,177,290,-0.015053763440860225,-0.1367127496159754,0.0,182.48847926267274,ana_dura,temporal_holdout,MI spline LASSO
0.41,1085,160,250,-0.012653284386471881,-0.15597906740607653,0.0,206.24929751601653,ana_dura,temporal_holdout,MI spline LASSO
0.42,1085,134,205,-0.01331638328301286,-0.17590974098204343,0.0,224.53368444151843,ana_dura,temporal_holdout,MI spline LASSO
0.43,1085,115,174,-0.014989085617268959,-0.19653973643786876,0.0,240.66016504126023,ana_dura,temporal_holdout,MI spline LASSO
0.44,1085,96,128,-0.00421329822251481,-0.21790651744568784,0.0,271.9731881022202,ana_dura,temporal_holdout,MI spline LASSO
0.45,1085,73,98,-0.006619187264348546,-0.2400502723083367,0.0,285.30465949820774,ana_dura,temporal_holdout,MI spline LASSO
0.46,1085,61,69,0.002048131080389144,-0.2630141662399726,0.0,311.1600881586855,ana_dura,temporal_holdout,MI spline LASSO
0.47,1085,47,49,0.0032692809320928632,-0.2868446222067645,0.0,327.14972056083917,ana_dura,temporal_holdout,MI spline LASSO
0.48,1085,35,33,0.004182913860333217,-0.31159163417227925,0.0,342.0890937019969,ana_dura,temporal_holdout,MI spline LASSO
0.49,1085,28,23,0.005439595192915876,-0.3373091171952651,0.0,356.73845575096385,ana_dura,temporal_holdout,MI spline LASSO
0.5,1085,19,13,0.005529953917050691,-0.36405529953917043,0.0,369.5852534562211,ana_dura,temporal_holdout,MI spline LASSO
0.01,21762,1973,19789,0.08147739688958326,0.08147739688958328,0.0,-1.373900992973631e-12,var156,nested_cv,MI continuous XGBoost
0.02,21762,1972,19688,0.07215348229173114,0.07210471726600759,0.0,2.3894862604541682,var156,nested_cv,MI continuous XGBoost
0.03,21762,1959,19167,0.0627794405646085,0.06253878651617262,0.0,7.781147566093683,var156,nested_cv,MI continuous XGBoost
0.04,21762,1914,17852,0.053771099470024196,0.05277356554238275,0.0,23.940814263394667,var156,nested_cv,MI continuous XGBoost
0.05,21762,1835,16026,0.04556227900879853,0.042802760969144676,0.0,52.430842753423185,var156,nested_cv,MI continuous XGBoost
0.06,21762,1736,14072,0.038497713171700816,0.032619811617752605,0.0,92.08712434518866,var156,nested_cv,MI continuous XGBoost
0.07,21762,1605,12142,0.03175654909959453,0.02221787410826606,0.0,126.72811059907818,var156,nested_cv,MI continuous XGBoost
0.08,21762,1457,10371,0.025511162257305313,0.011589807522486353,0.0,160.09557945041806,var156,nested_cv,MI continuous XGBoost
0.09,21762,1306,8616,0.020855993560708202,0.0007281570557004929,0.0,203.5147913284113,var156,nested_cv,MI continuous XGBoost
0.1,21762,1138,7052,0.016287310194120226,-0.010374863421458394,0.0,239.95956254020757,var156,nested_cv,MI continuous XGBoost
0.11,21762,971,5699,0.01225205465872374,-0.021727389976755676,0.0,274.92459750524256,var156,nested_cv,MI continuous XGBoost
