outcome,label,analysis,validation,model,n_explicit,positive_n_explicit,auc_explicit,sensitivity_explicit,specificity_explicit,npv_explicit,tp_explicit,fp_explicit,tn_explicit,fn_explicit,n_routine,positive_n_routine,auc_routine,sensitivity_routine,specificity_routine,npv_routine,tp_routine,fp_routine,tn_routine,fn_routine
ana_dura,Composite thrombophilia,guided_complete_case,temporal_holdout,Logistic LASSO,423,141,0.4884688898948744,0.950354609929078,0.0638297872340425,0.72,134,264,18,7,423,141,0.4884688898948744,0.950354609929078,0.0638297872340425,0.72,134,264,18,7
ana_dura,Composite thrombophilia,guided_complete_case,temporal_holdout,Automatic integer score,423,141,0.4958754589809365,0.9290780141843972,0.0673758865248227,0.6551724137931034,131,263,19,10,423,141,0.4958754589809365,0.9290780141843972,0.0673758865248227,0.6551724137931034,131,263,19,10
var156,Factor V Leiden,primary_complete_case,nested_cv,Logistic LASSO,5864,1167,0.6229491777555328,0.8997429305912596,0.1911858633170108,0.8847290640394089,1050,3799,898,117,7209,806,0.6188674934864977,0.9106699751861044,0.2045915976885834,0.9479015918958033,734,5093,1310,72
var156,Factor V Leiden,primary_complete_case,nested_cv,Automatic integer score,5864,1167,0.6229850262679291,0.9005998286203942,0.1894826484990419,0.8846918489065606,1051,3807,890,116,7209,806,0.6187450322797665,0.911910669975186,0.2022489458066531,0.9480234260614934,735,5108,1295,71
var156,Factor V Leiden,primary_complete_case,temporal_holdout,Logistic LASSO,102,29,0.5106282475200756,0.896551724137931,0.0684931506849315,0.625,26,68,5,3,423,28,0.5859855334538879,0.8928571428571429,0.1620253164556962,0.9552238805970148,25,331,64,3
var156,Factor V Leiden,primary_complete_case,temporal_holdout,Automatic integer score,102,29,0.5103920642418517,0.896551724137931,0.0684931506849315,0.625,26,68,5,3,423,28,0.5865732368896927,0.8928571428571429,0.1544303797468354,0.953125,25,334,61,3
var156,Factor V Leiden,primary_complete_case,nested_cv,XGBoost,5864,1167,0.6234098265789445,0.9031705227077976,0.1869278262720885,0.8859737638748738,1054,3819,878,113,7209,806,0.6150641235556069,0.9069478908188584,0.2022489458066531,0.9452554744525548,731,5108,1295,75
var156,Factor V Leiden,primary_complete_case,temporal_holdout,XGBoost,102,29,0.4775625885687293,0.9310344827586208,0.0547945205479452,0.6666666666666666,27,69,4,2,423,28,0.5775768535262206,0.8571428571428571,0.1493670886075949,0.9365079365079364,24,336,59,4
var156,Factor V Leiden,sensitivity_native_missing,nested_cv,XGBoost,10379,1973,0.7191529196375673,0.905727318803852,0.3302403045443731,0.937204591492235,1787,5630,2776,186,21762,1973,0.656515032375136,0.8925494171312722,0.2572136035171055,0.960015088645794,1761,14699,5090,212
var156,Factor V Leiden,sensitivity_native_missing,temporal_holdout,XGBoost,239,72,0.5691533599467731,0.9861111111111112,0.0,0.0,71,167,0,1,1085,72,0.649877975211144,0.8611111111111112,0.3198420533070089,0.9700598802395208,62,689,324,10
var157,Prothrombin G20210A,primary_complete_case,nested_cv,Logistic LASSO,5758,850,0.5653867635073588,0.8976470588235295,0.1623879380603097,0.9015837104072398,763,4111,797,87,7209,592,0.5460551037663022,0.9087837837837838,0.140849327489799,0.9452332657200812,538,5685,932,54
var157,Prothrombin G20210A,primary_complete_case,nested_cv,Automatic integer score,5758,850,0.5650002397046838,0.903529411764706,0.1583129584352078,0.9045401629802096,768,4131,777,82,7209,592,0.5468845091880455,0.9138513513513512,0.1340486625358924,0.945628997867804,541,5730,887,51
var157,Prothrombin G20210A,primary_complete_case,temporal_holdout,Logistic LASSO,93,27,0.5488215488215488,0.925925925925926,0.0909090909090909,0.75,25,60,6,2,423,27,0.5411054994388328,0.925925925925926,0.1186868686868686,0.9591836734693876,25,349,47,2
var157,Prothrombin G20210A,primary_complete_case,temporal_holdout,Automatic integer score,93,27,0.5479797979797979,0.925925925925926,0.0909090909090909,0.75,25,60,6,2,423,27,0.5411054994388328,0.925925925925926,0.1186868686868686,0.9591836734693876,25,349,47,2
var157,Prothrombin G20210A,primary_complete_case,nested_cv,XGBoost,5758,850,0.5734432379308692,0.903529411764706,0.1503667481662591,0.9,768,4170,738,82,7209,592,0.5583066395320816,0.9037162162162162,0.1601934411364666,0.9489704565801254,535,5557,1060,57
var157,Prothrombin G20210A,primary_complete_case,temporal_holdout,XGBoost,93,27,0.5325476992143658,0.925925925925926,0.0606060606060606,0.6666666666666666,25,62,4,2,423,27,0.5151515151515151,0.7777777777777778,0.1464646464646464,0.90625,21,338,58,6
var157,Prothrombin G20210A,sensitivity_native_missing,nested_cv,XGBoost,10134,1544,0.6892936041426649,0.9060880829015544,0.2924330616996508,0.9454271735039518,1399,6078,2512,145,21762,1544,0.6055405247312071,0.9125647668393784,0.2047185676130181,0.9684136640149744,1409,16079,4139,135
var157,Prothrombin G20210A,sensitivity_native_missing,temporal_holdout,XGBoost,222,58,0.5536690496215307,1.0,0.0121951219512195,1.0,58,162,2,0,1085,58,0.639861666051103,0.913793103448276,0.311587147030185,0.9846153846153848,53,707,320,5
var161,Registry-coded APS,primary_complete_case,nested_cv,Logistic LASSO,5866,851,0.6124927216001819,0.9071680376028202,0.1732801595214357,0.9166666666666666,772,4146,869,79,7209,636,0.5958623136195623,0.9135220125786164,0.1630914346569298,0.9511978704525288,581,5501,1072,55
var161,Registry-coded APS,primary_complete_case,nested_cv,Automatic integer score,5866,851,0.6124993995686268,0.9059929494712105,0.1742771684945164,0.9161425576519916,771,4141,874,80,7209,636,0.5949293947892416,0.910377358490566,0.1633957097215883,0.9496021220159152,579,5499,1074,57
var161,Registry-coded APS,primary_complete_case,temporal_holdout,Logistic LASSO,115,50,0.5666153846153846,0.94,0.0461538461538461,0.5,47,62,3,3,423,50,0.6062198391420911,0.94,0.1528150134048257,0.95,47,316,57,3
var161,Registry-coded APS,primary_complete_case,temporal_holdout,Automatic integer score,115,50,0.5616923076923077,0.94,0.0461538461538461,0.5,47,62,3,3,423,50,0.605254691689008,0.94,0.1528150134048257,0.95,47,316,57,3
var161,Registry-coded APS,primary_complete_case,nested_cv,XGBoost,5866,851,0.6016675004364112,0.91069330199765,0.171086739780658,0.9186295503211992,775,4157,858,76,7209,636,0.612083978004166,0.9198113207547168,0.1676555606268066,0.955767562879445,585,5471,1102,51
var161,Registry-coded APS,primary_complete_case,temporal_holdout,XGBoost,115,50,0.550923076923077,0.94,0.0615384615384615,0.5714285714285714,47,61,4,3,423,50,0.6076407506702413,0.94,0.1903485254691689,0.9594594594594594,47,302,71,3
var161,Registry-coded APS,sensitivity_native_missing,nested_cv,XGBoost,10417,1763,0.7419704736225374,0.9001701644923426,0.3481626993297897,0.9448102853559108,1587,5641,3013,176,21762,1763,0.6380790536974381,0.902439024390244,0.2001600080004,0.9588023952095808,1591,15996,4003,172
var161,Registry-coded APS,sensitivity_native_missing,temporal_holdout,XGBoost,268,122,0.6832191780821918,1.0,0.0,,122,146,0,0,1085,122,0.6694074187562773,0.9918032786885246,0.0373831775700934,0.972972972972973,121,927,36,1
var155,Protein S deficiency,primary_complete_case,nested_cv,Logistic LASSO,5723,384,0.5502466617500157,0.8802083333333334,0.1556471249297621,0.9475484606613456,338,4508,831,46,7209,261,0.5459593653566616,0.8314176245210728,0.2449625791594703,0.9747995418098512,217,5246,1702,44
var155,Protein S deficiency,primary_complete_case,nested_cv,Automatic integer score,5723,384,0.5526857206405694,0.8854166666666666,0.1487169882000374,0.9474940334128878,340,4545,794,44,7209,261,0.5463547491270676,0.8888888888888888,0.1489637305699482,0.9727443609022556,232,5913,1035,29
var155,Protein S deficiency,primary_complete_case,temporal_holdout,Logistic LASSO,102,15,0.5904214559386973,1.0,0.0919540229885057,1.0,15,79,8,0,423,15,0.5482026143790849,1.0,0.1053921568627451,1.0,15,365,43,0
var155,Protein S deficiency,primary_complete_case,temporal_holdout,Automatic integer score,102,15,0.5900383141762452,1.0,0.0919540229885057,1.0,15,79,8,0,423,15,0.5482026143790849,1.0,0.1053921568627451,1.0,15,365,43,0
var155,Protein S deficiency,primary_complete_case,nested_cv,XGBoost,5723,384,0.5662348013048636,0.8984375,0.1517138040831616,0.9540636042402828,345,4529,810,39,7209,261,0.55752447850149,0.9195402298850576,0.1201784686240644,0.9754672897196262,240,6113,835,21
