bin,n,predicted,observed,absolute_error,outcome,analysis,validation,model
2,33,0.2194321665209756,0.1212121212121212,0.0982200453088544,var156,primary_complete_case,temporal_holdout,Logistic LASSO
0,157,0.0682593336326966,0.0382165605095541,0.0300427731231424,var156,primary_complete_case,temporal_holdout,Automatic integer score
1,233,0.1357121215599079,0.0772532188841201,0.0584589026757877,var156,primary_complete_case,temporal_holdout,Automatic integer score
2,33,0.2209442469124826,0.1212121212121212,0.0997321257003614,var156,primary_complete_case,temporal_holdout,Automatic integer score
0,3091,0.0721621102650732,0.0721449369136201,1.7173351453028673e-05,var156,primary_complete_case,nested_cv,XGBoost
1,3922,0.1385899317269876,0.139724630290668,0.0011346985636804,var156,primary_complete_case,nested_cv,XGBoost
2,189,0.2119552113864787,0.1746031746031746,0.0373520367833041,var156,primary_complete_case,nested_cv,XGBoost
3,7,0.314517536333629,0.2857142857142857,0.0288032506193433,var156,primary_complete_case,nested_cv,XGBoost
0,150,0.0747454313064615,0.0333333333333333,0.0414120979731281,var156,primary_complete_case,temporal_holdout,XGBoost
1,270,0.1371889656064687,0.0851851851851851,0.0520037804212835,var156,primary_complete_case,temporal_holdout,XGBoost
2,3,0.2324311037858327,0.0,0.2324311037858327,var156,primary_complete_case,temporal_holdout,XGBoost
0,13383,0.0626029355536642,0.0605992677277142,0.00200366782595,var156,sensitivity_native_missing,nested_cv,XGBoost
1,8245,0.1345322598564834,0.1363250454821103,0.0017927856256269,var156,sensitivity_native_missing,nested_cv,XGBoost
2,134,0.217816242642367,0.2835820895522388,0.0657658469098717,var156,sensitivity_native_missing,nested_cv,XGBoost
0,780,0.0610317084842767,0.0512820512820512,0.0097496572022254,var156,sensitivity_native_missing,temporal_holdout,XGBoost
1,299,0.1296276442432483,0.1003344481605351,0.0292931960827132,var156,sensitivity_native_missing,temporal_holdout,XGBoost
2,6,0.2258836328983307,0.3333333333333333,0.1074497004350026,var156,sensitivity_native_missing,temporal_holdout,XGBoost
0,5330,0.0724171436935311,0.0784240150093808,0.0060068713158497,var157,primary_complete_case,nested_cv,Logistic LASSO
1,1875,0.1110992650067343,0.0928,0.0182992650067343,var157,primary_complete_case,nested_cv,Logistic LASSO
2,3,0.2584197693478179,0.0,0.2584197693478179,var157,primary_complete_case,nested_cv,Logistic LASSO
3,1,0.310804560712027,0.0,0.310804560712027,var157,primary_complete_case,nested_cv,Logistic LASSO
0,4995,0.0688685070968201,0.0758758758758758,0.0070073687790557,var157,primary_complete_case,nested_cv,Automatic integer score
1,2196,0.1121113882412138,0.0969945355191256,0.0151168527220881,var157,primary_complete_case,nested_cv,Automatic integer score
2,16,0.2201922417615687,0.0,0.2201922417615687,var157,primary_complete_case,nested_cv,Automatic integer score
3,2,0.3533293909918161,0.0,0.3533293909918161,var157,primary_complete_case,nested_cv,Automatic integer score
0,298,0.0715732032046401,0.0570469798657718,0.0145262233388683,var157,primary_complete_case,temporal_holdout,Logistic LASSO
1,123,0.1082197949896707,0.073170731707317,0.0350490632823536,var157,primary_complete_case,temporal_holdout,Logistic LASSO
2,2,0.2088540656513851,0.5,0.2911459343486148,var157,primary_complete_case,temporal_holdout,Logistic LASSO
0,282,0.068331128907976,0.0496453900709219,0.018685738837054,var157,primary_complete_case,temporal_holdout,Automatic integer score
1,139,0.1101351540786639,0.0863309352517985,0.0238042188268653,var157,primary_complete_case,temporal_holdout,Automatic integer score
2,2,0.2313080062086973,0.5,0.2686919937913026,var157,primary_complete_case,temporal_holdout,Automatic integer score
0,5292,0.0757981000481509,0.0727513227513227,0.0030467772968282,var157,primary_complete_case,nested_cv,XGBoost
1,1917,0.1111611598129998,0.107981220657277,0.0031799391557228,var157,primary_complete_case,nested_cv,XGBoost
0,322,0.0709784348431673,0.0559006211180124,0.0150778137251549,var157,primary_complete_case,temporal_holdout,XGBoost
1,101,0.1105548133796984,0.0891089108910891,0.0214459024886093,var157,primary_complete_case,temporal_holdout,XGBoost
0,18638,0.0642775072676601,0.0658332439102908,0.0015557366426307,var157,sensitivity_native_missing,nested_cv,XGBoost
1,3124,0.1132410121020335,0.101472471190781,0.0117685409112524,var157,sensitivity_native_missing,nested_cv,XGBoost
0,1045,0.0596425658403829,0.0526315789473684,0.0070109868930144,var157,sensitivity_native_missing,temporal_holdout,XGBoost
1,40,0.1129501976072788,0.075,0.0379501976072788,var157,sensitivity_native_missing,temporal_holdout,XGBoost
0,4707,0.0670532801132129,0.0728701933290843,0.0058169132158713,var161,primary_complete_case,nested_cv,Logistic LASSO
1,2462,0.1236216765248833,0.1133225020308692,0.010299174494014,var161,primary_complete_case,nested_cv,Logistic LASSO
2,8,0.2494634364274708,0.0,0.2494634364274708,var161,primary_complete_case,nested_cv,Logistic LASSO
3,14,0.3311388944918753,0.3571428571428571,0.0260039626509818,var161,primary_complete_case,nested_cv,Logistic LASSO
4,12,0.4626658802205021,0.5,0.0373341197794978,var161,primary_complete_case,nested_cv,Logistic LASSO
5,4,0.5603984128478326,0.25,0.3103984128478326,var161,primary_complete_case,nested_cv,Logistic LASSO
6,2,0.6186981436803007,1.0,0.3813018563196992,var161,primary_complete_case,nested_cv,Logistic LASSO
0,4685,0.065641917201587,0.0727854855923159,0.0071435683907288,var161,primary_complete_case,nested_cv,Automatic integer score
1,2450,0.1239850127111892,0.1114285714285714,0.0125564412826178,var161,primary_complete_case,nested_cv,Automatic integer score
2,40,0.2116977806230915,0.2,0.0116977806230915,var161,primary_complete_case,nested_cv,Automatic integer score
3,16,0.343428045352745,0.3125,0.030928045352745,var161,primary_complete_case,nested_cv,Automatic integer score
4,6,0.4656526873263438,0.3333333333333333,0.1323193539930104,var161,primary_complete_case,nested_cv,Automatic integer score
5,8,0.5334387519622135,0.5,0.0334387519622134,var161,primary_complete_case,nested_cv,Automatic integer score
6,4,0.6412806081609014,0.75,0.1087193918390986,var161,primary_complete_case,nested_cv,Automatic integer score
0,248,0.0702536525395856,0.0967741935483871,0.0265205410088014,var161,primary_complete_case,temporal_holdout,Logistic LASSO
1,174,0.119820824733749,0.1436781609195402,0.0238573361857911,var161,primary_complete_case,temporal_holdout,Logistic LASSO
6,1,0.628793985013748,1.0,0.371206014986252,var161,primary_complete_case,temporal_holdout,Logistic LASSO
0,263,0.0702191187570738,0.0988593155893536,0.0286401968322797,var161,primary_complete_case,temporal_holdout,Automatic integer score
1,159,0.1237226029637299,0.1446540880503144,0.0209314850865844,var161,primary_complete_case,temporal_holdout,Automatic integer score
6,1,0.6677329117954826,1.0,0.3322670882045174,var161,primary_complete_case,temporal_holdout,Automatic integer score
0,4767,0.0697783943752535,0.0732116635200335,0.00343326914478,var161,primary_complete_case,nested_cv,XGBoost
1,2380,0.1206103183078665,0.1117647058823529,0.0088456124255136,var161,primary_complete_case,nested_cv,XGBoost
2,47,0.224153643592875,0.3404255319148936,0.1162718883220185,var161,primary_complete_case,nested_cv,XGBoost
3,9,0.3485338654783037,0.3333333333333333,0.0152005321449703,var161,primary_complete_case,nested_cv,XGBoost
4,5,0.424858558177948,0.4,0.0248585581779479,var161,primary_complete_case,nested_cv,XGBoost
5,1,0.5274280309677124,0.0,0.5274280309677124,var161,primary_complete_case,nested_cv,XGBoost
0,256,0.0726925483759259,0.109375,0.036682451624074,var161,primary_complete_case,temporal_holdout,XGBoost
1,164,0.1201290361038068,0.1280487804878048,0.007919744383998,var161,primary_complete_case,temporal_holdout,XGBoost
2,2,0.2041800245642662,0.0,0.2041800245642662,var161,primary_complete_case,temporal_holdout,XGBoost
4,1,0.4780412316322326,1.0,0.5219587683677673,var161,primary_complete_case,temporal_holdout,XGBoost
0,16858,0.0665116872483114,0.0643018151619409,0.0022098720863705,var161,sensitivity_native_missing,nested_cv,XGBoost
1,4765,0.1277755444785355,0.1332633788037775,0.0054878343252419,var161,sensitivity_native_missing,nested_cv,XGBoost
2,106,0.2290359694721563,0.3018867924528302,0.0728508229806738,var161,sensitivity_native_missing,nested_cv,XGBoost
3,24,0.343497384339571,0.3333333333333333,0.0101640510062376,var161,sensitivity_native_missing,nested_cv,XGBoost
4,9,0.4465078347259097,0.4444444444444444,0.0020633902814653,var161,sensitivity_native_missing,nested_cv,XGBoost
0,320,0.0734843826212454,0.053125,0.0203593826212454,var161,sensitivity_native_missing,temporal_holdout,XGBoost
1,734,0.1323371506029643,0.1253405994550408,0.0069965511479234,var161,sensitivity_native_missing,temporal_holdout,XGBoost
2,29,0.2229445612636105,0.4137931034482758,0.1908485421846653,var161,sensitivity_native_missing,temporal_holdout,XGBoost
3,2,0.3368371725082397,0.5,0.1631628274917602,var161,sensitivity_native_missing,temporal_holdout,XGBoost
0,7149,0.0360976125701281,0.0362288431948524,0.0001312306247243,var155,primary_complete_case,nested_cv,Logistic LASSO
1,59,0.1233811351356827,0.0338983050847457,0.0894828300509369,var155,primary_complete_case,nested_cv,Logistic LASSO
2,1,0.2127213824900764,0.0,0.2127213824900764,var155,primary_complete_case,nested_cv,Logistic LASSO
0,7121,0.0355103869468194,0.0362308664513411,0.0007204795045216,var155,primary_complete_case,nested_cv,Automatic integer score
1,87,0.1175414605514223,0.0344827586206896,0.0830587019307327,var155,primary_complete_case,nested_cv,Automatic integer score
2,1,0.215076213036184,0.0,0.215076213036184,var155,primary_complete_case,nested_cv,Automatic integer score
0,423,0.0383525709316232,0.0354609929078014,0.0028915780238217,var155,primary_complete_case,temporal_holdout,Logistic LASSO
0,423,0.0371710923898314,0.0354609929078014,0.00171009948203,var155,primary_complete_case,temporal_holdout,Automatic integer score
0,7155,0.0379766492044213,0.0359189378057302,0.002057711398691,var155,primary_complete_case,nested_cv,XGBoost
1,54,0.1129331143090018,0.074074074074074,0.0388590402349277,var155,primary_complete_case,nested_cv,XGBoost
0,422,0.036496626566301,0.0355450236966824,0.0009516028696185,var155,primary_complete_case,temporal_holdout,XGBoost
1,1,0.1168808043003082,0.0,0.1168808043003082,var155,primary_complete_case,temporal_holdout,XGBoost
0,21714,0.0338332441811623,0.033204384268214,0.0006288599129483,var155,sensitivity_native_missing,nested_cv,XGBoost
1,46,0.1185253578359666,0.0869565217391304,0.0315688360968361,var155,sensitivity_native_missing,nested_cv,XGBoost
2,2,0.2128268182277679,0.0,0.2128268182277679,var155,sensitivity_native_missing,nested_cv,XGBoost
0,1082,0.0295466409502086,0.0286506469500924,0.0008959940001161,var155,sensitivity_native_missing,temporal_holdout,XGBoost
1,3,0.1198097641269366,0.0,0.1198097641269366,var155,sensitivity_native_missing,temporal_holdout,XGBoost
0,7209,0.0171310174858933,0.0166458593424885,0.0004851581434047,var154,primary_complete_case,nested_cv,Logistic LASSO
0,7209,0.0166569291059357,0.0166458593424885,1.106976344720026e-05,var154,primary_complete_case,nested_cv,Automatic integer score
0,423,0.0184927533502464,0.0047281323877068,0.0137646209625395,var154,primary_complete_case,temporal_holdout,Logistic LASSO
0,423,0.0185226261567077,0.0047281323877068,0.0137944937690008,var154,primary_complete_case,temporal_holdout,Automatic integer score
0,7208,0.0185701843246726,0.0166481687014428,0.0019220156232298,var154,primary_complete_case,nested_cv,XGBoost
1,1,0.1350456476211547,0.0,0.1350456476211547,var154,primary_complete_case,nested_cv,XGBoost
0,423,0.0174772273044566,0.0047281323877068,0.0127490949167497,var154,primary_complete_case,temporal_holdout,XGBoost
0,21757,0.016203230700834,0.0160408144505216,0.0001624162503123,var154,sensitivity_native_missing,nested_cv,XGBoost
1,5,0.1143203377723693,0.0,0.1143203377723693,var154,sensitivity_native_missing,nested_cv,XGBoost
0,1085,0.015894353779007,0.0055299539170506,0.0103643998619563,var154,sensitivity_native_missing,temporal_holdout,XGBoost
0,7204,0.01313203128375,0.0127706829539144,0.0003613483298355,var158,primary_complete_case,nested_cv,Logistic LASSO
1,5,0.1147772695077819,0.0,0.1147772695077819,var158,primary_complete_case,nested_cv,Logistic LASSO
0,7203,0.0126057062320032,0.0127724559211439,0.0001667496891406,var158,primary_complete_case,nested_cv,Automatic integer score
1,5,0.1469973184154914,0.0,0.1469973184154914,var158,primary_complete_case,nested_cv,Automatic integer score
2,1,0.2043441780984044,0.0,0.2043441780984044,var158,primary_complete_case,nested_cv,Automatic integer score
0,423,0.0144139312043903,0.0118203309692671,0.0025936002351232,var158,primary_complete_case,temporal_holdout,Logistic LASSO
0,423,0.0131076454833549,0.0118203309692671,0.0012873145140878,var158,primary_complete_case,temporal_holdout,Automatic integer score
0,7206,0.0131036285839263,0.012767138495698,0.0003364900882282,var158,primary_complete_case,nested_cv,XGBoost
1,3,0.1080132077137629,0.0,0.1080132077137629,var158,primary_complete_case,nested_cv,XGBoost
0,423,0.016712015133624,0.0118203309692671,0.0048916841643569,var158,primary_complete_case,temporal_holdout,XGBoost
0,21760,0.0113955672788078,0.0112132352941176,0.0001823319846902,var158,sensitivity_native_missing,nested_cv,XGBoost
1,2,0.121692381799221,0.0,0.121692381799221,var158,sensitivity_native_missing,nested_cv,XGBoost
0,1085,0.0133717703637302,0.0138248847926267,0.0004531144288965,var158,sensitivity_native_missing,temporal_holdout,XGBoost
0,628,0.0182087678108862,0.0175159235668789,0.0006928442440072,andujak2,primary_complete_case,nested_cv,Logistic LASSO
1,12,0.1339815062004996,0.0833333333333333,0.0506481728671663,andujak2,primary_complete_case,nested_cv,Logistic LASSO
2,6,0.263185962500445,0.3333333333333333,0.0701473708328882,andujak2,primary_complete_case,nested_cv,Logistic LASSO
3,1,0.3831042940824306,1.0,0.6168957059175694,andujak2,primary_complete_case,nested_cv,Logistic LASSO
4,1,0.4492243010426933,0.0,0.4492243010426933,andujak2,primary_complete_case,nested_cv,Logistic LASSO
0,619,0.0130650510479478,0.0177705977382875,0.0047055466903397,andujak2,primary_complete_case,nested_cv,Automatic integer score
1,19,0.1340252711304599,0.0,0.1340252711304599,andujak2,primary_complete_case,nested_cv,Automatic integer score
2,2,0.2341958170933085,0.5,0.2658041829066915,andujak2,primary_complete_case,nested_cv,Automatic integer score
3,5,0.3787040457270361,0.4,0.0212959542729638,andujak2,primary_complete_case,nested_cv,Automatic integer score
4,1,0.4635826322343619,0.0,0.4635826322343619,andujak2,primary_complete_case,nested_cv,Automatic integer score
5,1,0.5982894461350016,1.0,0.4017105538649984,andujak2,primary_complete_case,nested_cv,Automatic integer score
6,1,0.675154388859868,0.0,0.675154388859868,andujak2,primary_complete_case,nested_cv,Automatic integer score
0,50,0.0189747685524779,0.06,0.041025231447522,andujak2,primary_complete_case,temporal_holdout,Logistic LASSO
1,4,0.138408996035315,0.75,0.611591003964685,andujak2,primary_complete_case,temporal_holdout,Logistic LASSO
0,50,0.0154769208646404,0.06,0.0445230791353595,andujak2,primary_complete_case,temporal_holdout,Automatic integer score
1,3,0.1545956834612591,1.0,0.8454043165387408,andujak2,primary_complete_case,temporal_holdout,Automatic integer score
2,1,0.2187029794600348,0.0,0.2187029794600348,andujak2,primary_complete_case,temporal_holdout,Automatic integer score
0,636,0.0251404154751414,0.0172955974842767,0.0078448179908647,andujak2,primary_complete_case,nested_cv,XGBoost
1,10,0.1441373668611049,0.3,0.155862633138895,andujak2,primary_complete_case,nested_cv,XGBoost
2,1,0.2812814712524414,1.0,0.7187185287475586,andujak2,primary_complete_case,nested_cv,XGBoost
3,1,0.3148435652256012,0.0,0.3148435652256012,andujak2,primary_complete_case,nested_cv,XGBoost
0,52,0.0327018495792379,0.0769230769230769,0.0442212273438389,andujak2,primary_complete_case,temporal_holdout,XGBoost
1,2,0.1559259593486786,1.0,0.8440740406513214,andujak2,primary_complete_case,temporal_holdout,XGBoost
0,2014,0.0237434353045203,0.0143992055610724,0.0093442297434478,andujak2,sensitivity_native_missing,nested_cv,XGBoost
1,51,0.1422371237593538,0.0980392156862745,0.0441979080730793,andujak2,sensitivity_native_missing,nested_cv,XGBoost
2,15,0.2350637674331665,0.3333333333333333,0.0982695659001668,andujak2,sensitivity_native_missing,nested_cv,XGBoost
3,8,0.3386453576385975,0.5,0.1613546423614025,andujak2,sensitivity_native_missing,nested_cv,XGBoost
4,5,0.4197717189788818,0.6,0.1802282810211181,andujak2,sensitivity_native_missing,nested_cv,XGBoost
5,3,0.5443039337793986,1.0,0.4556960662206014,andujak2,sensitivity_native_missing,nested_cv,XGBoost
6,2,0.6462116539478302,1.0,0.3537883460521698,andujak2,sensitivity_native_missing,nested_cv,XGBoost
0,130,0.01860037688345,0.0384615384615384,0.0198611615780884,andujak2,sensitivity_native_missing,temporal_holdout,XGBoost
1,5,0.1297914564609527,0.2,0.0702085435390472,andujak2,sensitivity_native_missing,temporal_holdout,XGBoost
2,1,0.2272427529096603,0.0,0.2272427529096603,andujak2,sensitivity_native_missing,temporal_holdout,XGBoost
4,1,0.4530022144317627,1.0,0.5469977855682373,andujak2,sensitivity_native_missing,temporal_holdout,XGBoost
5,1,0.5607576966285706,1.0,0.4392423033714294,andujak2,sensitivity_native_missing,temporal_holdout,XGBoost
6,1,0.6061148047447205,1.0,0.3938851952552795,andujak2,sensitivity_native_missing,temporal_holdout,XGBoost
7,2,0.7755590379238129,0.5,0.2755590379238128,andujak2,sensitivity_native_missing,temporal_holdout,XGBoost
