n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,analysis,validation,model,mace,ece
423,28,25,334,61,3,0.5865732368896927,0.0653202999207807,0.2601224630175656,151.30023640661938,7.092198581560283,0.8928571428571429,0.7280414845132785,0.9628816331707,0.1544303797468354,0.1221387998009934,0.1933786972836519,0.0696378830083565,0.047610639964229,0.1007777470621307,0.953125,0.8710034625990631,0.983930983213707,0.1071428571428571,0.8455696202531645,1.0559238665526092,0.6937939110070258,0.4776966546112116,0.6725124321880651,0.5865732368896927,var156,Factor V Leiden,primary,primary_complete_case,temporal_holdout,Automatic integer score,0.0627446004997639,0.0511319145435078
7209,806,731,5108,1295,75,0.6150641235556069,0.0977237953447381,0.3418606233643415,190.040227493411,10.403662089055349,0.9069478908188584,0.8849167029333188,0.92511838832427,0.2022489458066531,0.1925902064666323,0.2122647404666325,0.1251926699777359,0.1169499318201738,0.1339282529041052,0.9452554744525548,0.9319173511298336,0.9561036007544168,0.0930521091811414,0.7977510541933469,1.136880842778612,0.4600869923450569,0.5948420119639949,0.6342134086108056,0.6155768233466798,var156,Factor V Leiden,primary,primary_complete_case,nested_cv,XGBoost,0.0168267898294452,0.0016319223612811
423,28,24,336,59,4,0.5775768535262206,0.0647240764737933,0.2573149717364857,148.93617021276594,9.456264775413713,0.8571428571428571,0.685101978364747,0.943009946802506,0.1493670886075949,0.1175994408279239,0.187889008594958,0.0666666666666666,0.0452057375311612,0.097277911772373,0.9365079365079364,0.8478082215469362,0.975034381986606,0.1428571428571428,0.850632911392405,1.0076530612244898,0.9564164648910412,0.4647965641952984,0.6642122513562387,0.5775768535262206,var156,Factor V Leiden,primary,primary_complete_case,temporal_holdout,XGBoost,0.1086156607267481,0.049527491066367
21762,1973,1761,14699,5090,212,0.656515032375136,0.0803598876608176,0.2915622047032831,243.63569524859847,9.741751677235548,0.8925494171312722,0.8781137347360555,0.9054594714451184,0.2572136035171055,0.2511711636701543,0.2633502849055002,0.1069866342648845,0.102355985224666,0.1118006845683174,0.960015088645794,0.9543997356180424,0.96496433469178,0.1074505828687278,0.7427863964828946,1.2016232679509318,0.4177484448701876,0.6441492473804414,0.6680503849955602,0.6566095535786481,var156,Factor V Leiden,primary,sensitivity_native_missing,nested_cv,XGBoost,0.0231874334538162,0.0023163876244787
1085,72,62,689,324,10,0.649877975211144,0.0609148625018272,0.2361900023294946,307.8341013824885,9.216589861751151,0.8611111111111112,0.762868127494437,0.9227726922970102,0.3198420533070089,0.291846797129672,0.3491985233243963,0.0825565912117177,0.0649334391529416,0.1044285604124024,0.9700598802395208,0.9457726901213542,0.9836573481459512,0.1388888888888889,0.6801579466929911,1.266045799064667,0.4342421124828532,0.5807468191290995,0.7140897499177361,0.649877975211144,var156,Factor V Leiden,primary,sensitivity_native_missing,temporal_holdout,XGBoost,0.0488308512399804,0.015675664930025
7209,592,538,5685,932,54,0.5460551037663022,0.0754840248236339,0.2844804718258812,136.77347759744762,7.49063670411985,0.9087837837837838,0.8828806331733479,0.9294159816979068,0.140849327489799,0.1326758993071699,0.1494395191691689,0.086453479029407,0.0797236965981302,0.0936935111406397,0.9452332657200812,0.9292264104787424,0.9577843246000416,0.0912162162162162,0.859150672510201,1.0577699731393662,0.6476155608398098,0.5227072294591327,0.569059536834893,0.5517184690220849,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,Logistic LASSO,0.1483826165956072,0.0093513399736248
7209,592,541,5730,887,51,0.5468845091880455,0.0755791697200898,0.2850955751551532,130.1151338604522,7.074490220557636,0.9138513513513512,0.8884966115375108,0.9338697960800816,0.1340486625358924,0.1260515263424513,0.142470453813431,0.0862701323552862,0.0795719849474145,0.093474850729095,0.945628997867804,0.929216649733444,0.9584062003445076,0.0861486486486486,0.8659513374641076,1.055314902598934,0.6426669764465706,0.5241056959653472,0.5702297509179877,0.5517676985052588,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,Automatic integer score,0.1489114635636322,0.0100469066832095
423,27,25,349,47,2,0.5411054994388328,0.0599163041844659,0.2387644269859667,115.83924349881796,4.728132387706856,0.925925925925926,0.7663040731697686,0.9794453459390112,0.1186868686868686,0.0904385094020945,0.1542621254677136,0.0668449197860962,0.0456837639412839,0.0968137242611548,0.9591836734693876,0.8628696769391992,0.9887343666338142,0.074074074074074,0.8813131313131313,1.0506208213944603,0.624113475177305,0.4236625514403291,0.6479622615039282,0.5411054994388328,var157,Prothrombin G20210A,primary,primary_complete_case,temporal_holdout,Logistic LASSO,0.1135737403232789,0.0218017522633794
423,27,25,349,47,2,0.5411054994388328,0.0599535454643574,0.2391009675332525,115.83924349881796,4.728132387706856,0.925925925925926,0.7663040731697686,0.9794453459390112,0.1186868686868686,0.0904385094020945,0.1542621254677136,0.0668449197860962,0.0456837639412839,0.0968137242611548,0.9591836734693876,0.8628696769391992,0.9887343666338142,0.074074074074074,0.8813131313131313,1.0506208213944603,0.624113475177305,0.4236625514403291,0.6479622615039282,0.5411054994388328,var157,Prothrombin G20210A,primary,primary_complete_case,temporal_holdout,Automatic integer score,0.1037273171517407,0.0215497606538206
7209,592,535,5557,1060,57,0.5583066395320816,0.0752536249134793,0.2829201695464803,154.9452073796643,7.906783187682064,0.9037162162162162,0.8772857198165327,0.9249411023083842,0.1601934411364666,0.1515534619671647,0.1692277366206947,0.0878200919238345,0.0809700203808747,0.0951896560271859,0.9489704565801254,0.9344572434434698,0.960406157715261,0.0962837837837837,0.8398065588635333,1.0761004503693905,0.601046978582356,0.5371174625963429,0.5824299785513563,0.5614357118034461,var157,Prothrombin G20210A,primary,primary_complete_case,nested_cv,XGBoost,0.0031133582262755,0.003082187379156
