cohort,variable,n,null_n,sentinel_n,explicit_unknown_or_not_performed_n,unavailable_n,unavailable_pct
tested_raw,ep_tac,22874,5402,0,0,5402,23.616332954446094
tested_raw,ep_tac_r,22874,11753,0,0,11753,51.381481157646235
tested_raw,ep_tlss,22874,16981,0,0,16981,74.23712512022384
tested_raw,ep_tls,22874,16078,0,0,16078,70.28941155897526
tested_raw,ep_tll,22874,16123,0,0,16123,70.48614147066539
tested_raw,ep_tlp,22874,16272,0,0,16272,71.13753606715048
tested_raw,ep_tlce,22874,16703,0,0,16703,73.02177144356038
tested_raw,eptacven,22874,21624,0,0,21624,94.53528023082977
tested_raw,ep_t_reg,22874,18866,0,0,18866,82.47792253213255
tested_raw,ep_ecoca,22874,6938,0,0,6938,30.331380606802483
tested_raw,ep_ec_pr,22874,17631,0,0,17631,77.07877940019236
tested_raw,ep_eco_p,22874,19415,0,0,19415,84.87802745475213
tested_raw,ep_eco_v,22874,16851,0,0,16851,73.66879426423013
tested_raw,var52,22874,17094,0,0,17094,74.73113578735683
tested_raw,epecoddv,22874,22054,0,0,22054,96.41514383142432
tested_raw,tvp_ecog,22874,1931,0,0,1931,8.441899099414183
tested_raw,tvp_eco_,22874,4790,0,0,4790,20.940806155460347
tested_raw,tv_l_esu,22874,12878,0,0,12878,56.29972894989945
tested_raw,tvp_orig,22874,21831,0,0,21831,95.44023782460435
tested_raw,tvpocatt,22874,22619,0,0,22619,98.88519716708927
tested_raw,tvpocaef,22874,22462,0,0,22462,98.19882836408149
tested_raw,tv_l_ein,22874,5943,0,0,5943,25.981463670542976
tested_raw,tvp_prox,22874,8947,0,0,8947,39.11427821981289
tested_raw,tv_l_vil,22874,22024,0,0,22024,96.28399055696424
tested_raw,tv_l_vfe,22874,22004,0,0,22004,96.19655504065751
tested_raw,tv_l_vpp,22874,22001,0,0,22001,96.1834397132115
tested_raw,tv_l_vpo,22874,14557,0,0,14557,63.639940543848915
tested_raw,tv_l_vme,22874,14589,0,0,14589,63.77983736993967
tested_raw,tv_l_ves,22874,14599,0,0,14599,63.823555128093034
tested_raw,tv_l_svc,22874,14703,0,0,14703,64.278219812888
tested_raw,tv_l_vre,22874,15458,0,0,15458,67.57891055346683
tested_raw,tv_l_vrt,22874,22527,0,0,22527,98.48299379207835
tested_raw,tv_l_vrp,22874,22534,0,0,22534,98.5135962227857
tested_raw,tv_l_vrn,22874,15398,0,0,15398,67.31660400454665
tested_raw,tv_l_vca,22874,18965,0,0,18965,82.91072833785084
tested_raw,tv_l_yug,22874,19094,0,0,19094,83.4746874180292
tested_raw,tv_l_ova,22874,19109,0,0,19109,83.54026405525926
tested_raw,tv_l_sup,22874,19099,0,0,19099,83.4965462971059
tested_raw,tv_l_pul,22874,19104,0,0,19104,83.51840517618257
tested_raw,tv_l_ove,22874,15418,0,0,15418,67.40403952085337
tested_raw,fr_cance,22874,0,0,0,0,0.0
tested_raw,fr_can_l,22874,20203,0,0,20203,88.32298679723704
