variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
fr_inmov,Recent immobilization,No,Development eligible,Temporal eligible,10034,221,10034,221,0,0,8205.0,181.0,81.77197528403428,81.90045248868778,-0.003332350906857598,1.0,,,,,,,,,,
fr_inmov,Recent immobilization,Yes,Development eligible,Temporal eligible,10034,221,10034,221,0,0,1829.0,40.0,18.228024715965716,18.099547511312217,0.003332350906857598,1.0,,,,,,,,,,
fr_tvp_a,Prior VTE,No,Development eligible,Temporal eligible,10034,221,10034,221,0,0,8550.0,193.0,85.21028503089497,87.33031674208145,-0.06162930690945317,0.4426203987256104,,,,,,,,,,
fr_tvp_a,Prior VTE,Yes,Development eligible,Temporal eligible,10034,221,10034,221,0,0,1484.0,28.0,14.789714969105042,12.669683257918551,0.061629306909453244,0.4426203987256104,,,,,,,,,,
fr_antfa,Family history of VTE,No,Development eligible,Temporal eligible,10034,221,1680,219,8354,2,1415.0,186.0,84.22619047619048,84.93150684931507,-0.01953059111663063,0.8438186922981852,,,,,,,,,,
fr_antfa,Family history of VTE,Yes,Development eligible,Temporal eligible,10034,221,1680,219,8354,2,265.0,33.0,15.773809523809524,15.068493150684931,0.01953059111663078,0.8438186922981852,,,,,,,,,,
fr_tvs_a,Prior superficial thrombosis,No,Development eligible,Temporal eligible,10034,221,2646,220,7388,1,2510.0,209.0,94.86016628873772,95.0,-0.0063739953242770405,1.0,,,,,,,,,,
fr_tvs_a,Prior superficial thrombosis,Yes,Development eligible,Temporal eligible,10034,221,2646,220,7388,1,136.0,11.0,5.139833711262283,5.0,0.006373995324277042,1.0,,,,,,,,,,
fr_viaje,Recent prolonged travel,No,Development eligible,Temporal eligible,10034,221,9858,221,176,0,9479.0,216.0,96.15540677622236,97.73755656108597,-0.09205361266171906,0.2856581933148572,,,,,,,,,,
fr_viaje,Recent prolonged travel,Yes,Development eligible,Temporal eligible,10034,221,9858,221,176,0,379.0,5.0,3.8445932237776423,2.262443438914027,0.09205361266171955,0.2856581933148572,,,,,,,,,,
