variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
insf_car,Heart failure,No,Complete cases,Excluded for missing predictors,5806,4449,5806,4434,0,15,5653.0,4281.0,97.3647950396142,96.54939106901217,0.04748550581819383,0.019002791517853973,,,,,,,,,,
insf_car,Heart failure,Yes,Complete cases,Excluded for missing predictors,5806,4449,5806,4434,0,15,153.0,153.0,2.6352049603858076,3.450608930987822,-0.047485505818193864,0.019002791517853973,,,,,,,,,,
fibr_aur,Atrial fibrillation,No,Complete cases,Excluded for missing predictors,5806,4449,1419,1661,4387,2788,1388.0,1617.0,97.815362931642,97.35099337748345,0.030241517651630648,0.414778335524989,,,,,,,,,,
fibr_aur,Atrial fibrillation,Yes,Complete cases,Excluded for missing predictors,5806,4449,1419,1661,4387,2788,31.0,44.0,2.1846370683579983,2.6490066225165565,-0.030241517651630426,0.414778335524989,,,,,,,,,,
trat_est,Statin treatment,No,Complete cases,Excluded for missing predictors,5806,4449,2659,2628,3147,1821,2244.0,2213.0,84.39262880782249,84.20852359208524,0.005060697221354669,0.8798112969608847,,,,,,,,,,
trat_est,Statin treatment,Yes,Complete cases,Excluded for missing predictors,5806,4449,2659,2628,3147,1821,415.0,415.0,15.60737119217751,15.791476407914764,-0.005060697221354746,0.8798112969608847,,,,,,,,,,
e_con_pp,Chronic lung disease,No,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,5373.0,4082.0,92.54219772648983,91.75095527084738,0.02941625903062722,0.14736853285538848,,,,,,,,,,
e_con_pp,Chronic lung disease,Yes,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,433.0,367.0,7.457802273510161,8.249044729152619,-0.029416259030627123,0.14736853285538848,,,,,,,,,,
e_con_cu,Ulcerative colitis,No,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,5780.0,4442.0,99.55218739235275,99.842661272196,-0.05290540103667963,0.01259441946082031,,,,,,,,,,
e_con_cu,Ulcerative colitis,Yes,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,26.0,7.0,0.44781260764726144,0.1573387278040009,0.052905401036680316,0.01259441946082031,,,,,,,,,,
e_con_ec,Crohn disease,No,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,5792.0,4429.0,99.75887013434378,99.55046077770285,0.03553177556355393,0.08265627496589253,,,,,,,,,,
e_con_ec,Crohn disease,Yes,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,14.0,20.0,0.24112986565621772,0.4495392222971455,-0.03553177556355427,0.08265627496589253,,,,,,,,,,
e_con_lu,Known lupus,No,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,5788.0,4438.0,99.68997588701343,99.75275342773658,-0.011909671719717036,0.5802991506994553,,,,,,,,,,
e_con_lu,Known lupus,Yes,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,18.0,11.0,0.3100241129865656,0.24724657226342997,0.011909671719716953,0.5802991506994553,,,,,,,,,,
e_con_be,Behcet disease,No,Complete cases,Excluded for missing predictors,5806,4449,5806,4449,0,0,5797.0,4447.0,99.84498794350671,99.95504607777028,-0.03482909179491404,0.12848199424896284,,,,,,,,,,
