outcome,variable,selection_fraction,selected_imputations,imputations
var161,ana_plaq,1.0,20,20
var161,ana_trop,0.8,16,20
var161,ant_clau,0.9,18,20
var161,ant_inf,0.6,12,20
var161,ant_isq,0.7,14,20
var161,diabetes,1.0,20,20
var161,e_con_ar,0.1,2,20
var161,e_con_at,0.25,5,20
var161,e_con_av,1.0,20,20
var161,e_con_be,1.0,20,20
var161,e_con_cu,0.0,0,20
var161,e_con_ea,1.0,20,20
var161,e_con_ec,1.0,20,20
var161,e_con_lu,1.0,20,20
var161,e_con_pp,1.0,20,20
var161,e_con_pr,1.0,20,20
var161,e_con_ro,1.0,20,20
var161,e_con_sm,0.35,7,20
var161,e_con_va,1.0,20,20
var161,edad,1.0,20,20
var161,fibr_aur,0.55,11,20
var161,fr_antec,0.8,16,20
var161,fr_antfa,0.9,18,20
var161,fr_cance,1.0,20,20
var161,fr_cirug,1.0,20,20
var161,fr_embar,1.0,20,20
var161,fr_estro,1.0,20,20
var161,fr_inmov,1.0,20,20
var161,fr_tvp_a,1.0,20,20
var161,fr_tvs_a,0.85,17,20
var161,fr_varic,0.95,19,20
var161,fr_viaje,1.0,20,20
var161,fum_act,1.0,20,20
var161,hip_art,0.6,12,20
var161,insf_car,1.0,20,20
var161,peso,1.0,20,20
var161,protcrea,1.0,20,20
var161,raza,1.0,20,20
var161,sexo,0.5,10,20
var161,sin_tvp_,1.0,20,20
var161,splanchnic,0.9,18,20
var161,tension_,1.0,20,20
var161,trat_est,0.65,13,20
var161,tv_l_ein,1.0,20,20
var161,tv_l_esu,0.8,16,20
var161,tv_l_ova,0.8,16,20
var161,tv_l_ove,0.65,13,20
var161,tv_l_pul,0.75,15,20
var161,tv_l_sup,0.85,17,20
var161,tv_l_svc,0.65,13,20
var161,tv_l_vca,0.9,18,20
var161,tv_l_vre,1.0,20,20
var161,tv_l_vrn,0.95,19,20
var161,tv_l_yug,0.95,19,20
var161,tvp_orig,0.75,15,20
var161,tvp_prox,0.85,17,20
var161,var171,1.0,20,20
