variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
ana_plaq,Platelets (10^9/L),>400,Complete cases,Excluded for missing predictors,5825,4470,5825,4459,0,11,257.0,276.0,4.412017167381975,6.189728638708231,-0.07940660388883279,6.493426703358638e-05,,,,,,,,,,
ana_leuc,Leukocytes (10^9/L),4–11,Complete cases,Excluded for missing predictors,5825,4470,5825,4430,0,40,4337.0,3145.0,74.45493562231759,70.99322799097065,0.0777839113637467,2.8398076465880673e-05,,,,,,,,,,
ana_leuc,Leukocytes (10^9/L),<4,Complete cases,Excluded for missing predictors,5825,4470,5825,4430,0,40,64.0,81.0,1.0987124463519313,1.8284424379232507,-0.06079340793367682,2.8398076465880673e-05,,,,,,,,,,
ana_leuc,Leukocytes (10^9/L),>11,Complete cases,Excluded for missing predictors,5825,4470,5825,4430,0,40,1424.0,1204.0,24.446351931330472,27.178329571106097,-0.0624610530447807,2.8398076465880673e-05,,,,,,,,,,
ana_neu,Neutrophils (10^9/L),1.5–8,Complete cases,Excluded for missing predictors,5825,4470,475,579,5350,3891,340.0,401.0,71.57894736842105,69.2573402417962,0.050883179316377786,0.3351821595407324,,,,,,,,,,
ana_neu,Neutrophils (10^9/L),<1.5,Complete cases,Excluded for missing predictors,5825,4470,475,579,5350,3891,0.0,2.0,0.0,0.3454231433506045,-0.08326108942436265,0.3351821595407324,,,,,,,,,,
ana_neu,Neutrophils (10^9/L),>8,Complete cases,Excluded for missing predictors,5825,4470,475,579,5350,3891,135.0,176.0,28.421052631578945,30.397236614853195,-0.0433824527144204,0.3351821595407324,,,,,,,,,,
protcrea,C-reactive protein (mg/dL),<0.5,Complete cases,Excluded for missing predictors,5825,4470,73,70,5752,4400,6.0,6.0,8.21917808219178,8.571428571428571,-0.012702327253671377,1.0,,,,,,,,,,
protcrea,C-reactive protein (mg/dL),≥0.5,Complete cases,Excluded for missing predictors,5825,4470,73,70,5752,4400,67.0,64.0,91.78082191780823,91.42857142857143,0.012702327253671476,1.0,,,,,,,,,,
female_under45,Female and age <45,No,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,4869.0,3632.0,83.58798283261802,81.25279642058165,0.06137676703650065,0.0021594364228564077,,,,,,,,,,
female_under45,Female and age <45,Yes,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,956.0,838.0,16.412017167381972,18.747203579418343,-0.06137676703650065,0.0021594364228564077,,,,,,,,,,
splanchnic,Splanchnic thrombosis,No,Complete cases,Excluded for missing predictors,5825,4470,1464,981,4361,3489,1456.0,887.0,99.4535519125683,90.41794087665647,0.4211190637253848,1.661085117693811e-29,,,,,,,,,,
splanchnic,Splanchnic thrombosis,Yes,Complete cases,Excluded for missing predictors,5825,4470,1464,981,4361,3489,8.0,94.0,0.546448087431694,9.582059123343527,-0.42111906372538493,1.661085117693811e-29,,,,,,,,,,
edad,Age (years),continuous,Complete cases,Excluded for missing predictors,5825,4470,5825,4470,0,0,,,,,0.012142168849992583,0.5415895709737177,54.53098712446352,18.257866816551708,55.0,39.0,70.0,54.308724832214764,18.35199429833812,55.0,39.25,70.0
peso,Weight (kg),continuous,Complete cases,Excluded for missing predictors,5825,4470,5825,4466,0,4,,,,,0.08948721863709778,6.875958216950488e-06,78.46434334763948,16.265335558055916,78.0,67.0,88.0,77.01059113300492,16.225362813850328,75.0,65.0,85.0
tension_,Systolic BP (mmHg),continuous,Complete cases,Excluded for missing predictors,5825,4470,5825,4020,0,450,,,,,0.08433151664605501,4.078189509348634e-05,130.08892703862662,20.498383143630846,130.0,119.0,140.0,128.34228855721392,20.922593454950395,127.0,115.0,140.0
ana_hemo,Hemoglobin (g/dL),continuous,Complete cases,Excluded for missing predictors,5825,4470,5825,4459,0,11,,,,,0.090926448407581,5.1322153370846015e-06,13.574029184549357,1.8815316697535225,13.8,12.5,14.9,13.400746804216192,1.9296492226008266,13.5,12.2,14.8
ana_plaq,Platelets (10^9/L),continuous,Complete cases,Excluded for missing predictors,5825,4470,5825,4459,0,11,,,,,-0.11460097241944739,1.0435846934158322e-08,235.77443776824035,90.38323422410271,223.0,178.0,277.0,246.57716976900653,97.99095923804279,231.0,184.0,288.0
ana_leuc,Leukocytes (10^9/L),continuous,Complete cases,Excluded for missing predictors,5825,4470,5825,4430,0,40,,,,,-0.05962704884096204,0.003047556546535624,9.299556566523606,3.2649179396654366,8.8,7.0,11.0,9.509025507900677,3.744655014754405,9.0,6.95,11.307500000000001
ana_neu,Neutrophils (10^9/L),continuous,Complete cases,Excluded for missing predictors,5825,4470,475,579,5350,3891,,,,,-0.04823268733544125,0.4338299464911154,6.7903242105263155,3.162833457035678,6.23,4.7,8.3,6.951036269430052,3.4930127833878055,6.3,4.515,8.585
protcrea,C-reactive protein (mg/dL),continuous,Complete cases,Excluded for missing predictors,5825,4470,73,70,5752,4400,,,,,-0.02412869139339415,0.8857118389383617,21.813397260273973,31.288575005165725,8.9,2.4,29.8,22.63471428571429,36.583260277425794,7.29,1.225,28.25
